"id_compra","fecha_compra","orden_compra","factura_distribuidor","lote_compra","codigo_distribuidor","codigo_producto","cantidad_cajas","unidades_por_caja","cantidad_unidades","precio_lista_unitario","descuento_distribuidor","valor_descuento","costo_unitario_neto","total_compra_neto","codigo_sucursal_entrega","estado_compra","condicion_pago","observacion"
11,"2025-04-17","OC-2025-0011","F-D006-202504-3783","L202504-168-0011","D002","P005",49,20,980,"1100.00","6.00","66.00","1034.00","1013320.00","SUR","Recibido","15 días crédito",NULL
12,"2025-08-23","OC-2025-0012","F-D005-202508-9065","L202508-564-0012","D006","P013",59,50,2950,"2000.00","15.00","300.00","1700.00","5015000.00","CENTRO","Recibido","60 días crédito",NULL
13,"2025-06-10","OC-2025-0013","F-D004-202506-9937","L202506-157-0013","D006","P002",44,20,880,"1800.00","16.00","288.00","1512.00","1330560.00","CENTRO","Recibido","60 días crédito",NULL
14,"2025-01-14","OC-2025-0014","F-D004-202501-2144","L202501-129-0014","D005","P012",15,60,900,"2200.00","10.00","220.00","1980.00","1782000.00","CENTRO","Recibido","30 días crédito","Descuento por volumen"
15,"2025-01-19","OC-2025-0015","F-D008-202501-3274","L202501-034-0015","D004","P013",20,24,480,"2000.00","13.00","260.00","1740.00","835200.00","CENTRO","Recibido","45 días crédito","Entrega coordinada fuera de horario regular"
16,"2025-08-10","OC-2025-0016","F-D002-202508-9277","L202508-128-0016","D006","P020",7,30,210,"650.00","12.00","78.00","572.00","120120.00","CENTRO","Recibido","60 días crédito",NULL
17,"2025-03-01","OC-2025-0017","F-D004-202503-9164","L202503-575-0017","D005","P001",35,20,700,"2500.00","11.00","275.00","2225.00","1557500.00","CENTRO","Recibido","30 días crédito",NULL
18,"2025-11-13","OC-2025-0018","F-D004-202511-7326","L202511-192-0018","D007","P004",5,60,300,"850.00","6.00","51.00","799.00","239700.00","CENTRO","Recibido","15 días crédito",NULL
19,"2025-02-09","OC-2025-0019","F-D002-202502-7047","L202502-576-0019","D008","P005",57,10,570,"1100.00","13.00","143.00","957.00","545490.00","CENTRO","Recibido","30 días crédito",NULL
20,"2025-09-08","OC-2025-0020","F-D004-202509-5359","L202509-404-0020","D002","P016",21,20,420,"4000.00","8.00","320.00","3680.00","1545600.00","VALLE","Recibido","15 días crédito",NULL
21,"2025-01-17","OC-2025-0021","F-D005-202501-6610","L202501-215-0021","D008","P015",16,60,960,"1500.00","11.00","165.00","1335.00","1281600.00","CENTRO","Pendiente","30 días crédito",NULL
22,"2025-09-10","OC-2025-0022","F-D002-202509-0582","L202509-649-0022","D001","P006",30,10,300,"3200.00","12.00","384.00","2816.00","844800.00","SUR","Recibido","30 días crédito","Descuento por volumen"
23,"2025-07-19","OC-2025-0023","F-D007-202507-0405","L202507-037-0023","D004","P012",58,30,1740,"2200.00","15.00","330.00","1870.00","3253800.00","SUR","Recibido","45 días crédito",NULL
24,"2025-07-13","OC-2025-0024","F-D001-202507-1308","L202507-550-0024","D007","P012",29,30,870,"2200.00","6.00","132.00","2068.00","1799160.00","VALLE","Recibido","15 días crédito",NULL
25,"2025-12-01","OC-2025-0025","F-D001-202512-6170","L202512-573-0025","D006","P001",56,10,560,"2500.00","17.00","425.00","2075.00","1162000.00","SUR","Recibido","60 días crédito",NULL
26,"2025-06-28","OC-2025-0026","F-D007-202506-5025","L202506-709-0026","D001","P016",49,30,1470,"4000.00","8.00","320.00","3680.00","5409600.00","SUR","Recibido","30 días crédito",NULL
27,"2025-07-03","OC-2025-0027","F-D008-202507-3321","L202507-057-0027","D003","P007",54,50,2700,"2800.00","7.00","196.00","2604.00","7030800.00","SUR","Recibido","Contado contra entrega",NULL
28,"2025-01-08","OC-2025-0028","F-D004-202501-9973","L202501-114-0028","D007","P011",34,24,816,"2100.00","6.00","126.00","1974.00","1610784.00","VALLE","Recibido","15 días crédito",NULL
29,"2025-12-20","OC-2025-0029","F-D008-202512-2014","L202512-151-0029","D001","P020",32,20,640,"650.00","10.00","65.00","585.00","374400.00","CENTRO","Recibido","30 días crédito",NULL
30,"2025-11-15","OC-2025-0030","F-D007-202511-2758","L202511-186-0030","D003","P001",28,60,1680,"2500.00","5.00","125.00","2375.00","3990000.00","SUR","Recibido","Contado contra entrega",NULL
31,"2025-09-21","OC-2025-0031","F-D004-202509-0279","L202509-182-0031","D004","P008",40,10,400,"650.00","10.00","65.00","585.00","234000.00","CENTRO","Recibido","45 días crédito",NULL
32,"2025-04-16","OC-2025-0032","F-D007-202504-7132","L202504-913-0032","D005","P002",27,20,540,"1800.00","11.00","198.00","1602.00","865080.00","SUR","Recibido","30 días crédito",NULL
33,"2025-10-18","OC-2025-0033","F-D008-202510-7686","L202510-139-0033","D003","P005",41,30,1230,"1100.00","5.00","55.00","1045.00","1285350.00","VALLE","Recibido","Contado contra entrega","Entrega coordinada fuera de horario regular"
34,"2025-03-23","OC-2025-0034","F-D001-202503-7375","L202503-422-0034","D004","P009",8,50,400,"900.00","11.00","99.00","801.00","320400.00","SUR","Recibido","45 días crédito",NULL
35,"2025-11-05","OC-2025-0035","F-D001-202511-2906","L202511-508-0035","D002","P008",44,10,440,"650.00","9.00","58.50","591.50","260260.00","NORTE","Recibido","15 días crédito",NULL
36,"2025-12-10","OC-2025-0036","F-D005-202512-6185","L202512-970-0036","D006","P007",8,60,480,"2800.00","14.00","392.00","2408.00","1155840.00","VALLE","Recibido","60 días crédito",NULL
37,"2025-01-28","OC-2025-0037","F-D002-202501-9389","L202501-364-0037","D007","P009",38,50,1900,"900.00","5.00","45.00","855.00","1624500.00","NORTE","Recibido","15 días crédito",NULL
38,"2025-11-08","OC-2025-0038","F-D001-202511-9461","L202511-882-0038","D003","P014",36,50,1800,"2300.00","6.00","138.00","2162.00","3891600.00","VALLE","Recibido","Contado contra entrega",NULL
39,"2025-08-25","OC-2025-0039","F-D003-202508-0639","L202508-869-0039","D008","P007",41,30,1230,"2800.00","11.00","308.00","2492.00","3065160.00","CENTRO","Recibido","30 días crédito",NULL
40,"2025-11-13","OC-2025-0040","F-D008-202511-1691","L202511-786-0040","D002","P014",41,30,1230,"2300.00","8.00","184.00","2116.00","2602680.00","NORTE","Recibido","15 días crédito",NULL
41,"2025-01-20","OC-2025-0041","F-D007-202501-6651","L202501-719-0041","D001","P014",17,50,850,"2300.00","11.00","253.00","2047.00","1739950.00","CENTRO","Recibido","30 días crédito",NULL
42,"2025-07-03","OC-2025-0042","F-D007-202507-5041","L202507-752-0042","D006","P004",58,30,1740,"850.00","17.00","144.50","705.50","1227570.00","SUR","Recibido","60 días crédito",NULL
43,"2025-03-23","OC-2025-0043","F-D003-202503-6417","L202503-459-0043","D007","P020",22,50,1100,"650.00","6.00","39.00","611.00","672100.00","VALLE","Recibido","15 días crédito",NULL
44,"2025-11-11","OC-2025-0044","F-D006-202511-5774","L202511-433-0044","D008","P020",56,10,560,"650.00","11.00","71.50","578.50","323960.00","SUR","Recibido","30 días crédito",NULL
45,"2025-03-07","OC-2025-0045","F-D005-202503-3796","L202503-359-0045","D004","P012",19,20,380,"2200.00","10.00","220.00","1980.00","752400.00","SUR","Recibido","45 días crédito",NULL
46,"2025-10-24","OC-2025-0046","F-D002-202510-1428","L202510-950-0046","D003","P012",17,10,170,"2200.00","9.00","198.00","2002.00","340340.00","VALLE","Recibido","Contado contra entrega",NULL
47,"2025-10-02","OC-2025-0047","F-D006-202510-7492","L202510-967-0047","D002","P013",17,10,170,"2000.00","8.00","160.00","1840.00","312800.00","CENTRO","Recibido","15 días crédito",NULL
48,"2025-03-07","OC-2025-0048","F-D005-202503-0888","L202503-664-0048","D007","P005",44,20,880,"1100.00","10.00","110.00","990.00","871200.00","SUR","Recibido","15 días crédito",NULL
49,"2025-12-05","OC-2025-0049","F-D007-202512-0064","L202512-953-0049","D002","P017",35,20,700,"1800.00","8.00","144.00","1656.00","1159200.00","VALLE","Recibido","15 días crédito",NULL
50,"2025-04-01","OC-2025-0050","F-D005-202504-1137","L202504-259-0050","D004","P003",16,60,960,"1200.00","12.00","144.00","1056.00","1013760.00","NORTE","Recibido","45 días crédito",NULL
51,"2025-03-20","OC-2025-0051","F-D003-202503-2198","L202503-476-0051","D007","P010",55,20,1100,"2100.00","7.00","147.00","1953.00","2148300.00","SUR","Recibido","15 días crédito",NULL
52,"2025-09-15","OC-2025-0052","F-D004-202509-5879","L202509-096-0052","D002","P020",25,24,600,"650.00","10.00","65.00","585.00","351000.00","NORTE","Recibido","15 días crédito",NULL
53,"2025-04-28","OC-2025-0053","F-D001-202504-1204","L202504-471-0053","D007","P007",26,30,780,"2800.00","9.00","252.00","2548.00","1987440.00","SUR","Recibido","15 días crédito",NULL
54,"2025-12-04","OC-2025-0054","F-D006-202512-3795","L202512-291-0054","D002","P011",27,10,270,"2100.00","9.00","189.00","1911.00","515970.00","NORTE","Recibido","15 días crédito",NULL
55,"2025-02-06","OC-2025-0055","F-D001-202502-1462","L202502-706-0055","D002","P008",45,20,900,"650.00","11.00","71.50","578.50","520650.00","SUR","Recibido","15 días crédito",NULL
56,"2025-06-21","OC-2025-0056","F-D005-202506-8693","L202506-175-0056","D001","P003",45,24,1080,"1200.00","12.00","144.00","1056.00","1140480.00","SUR","Recibido","30 días crédito",NULL
57,"2025-04-24","OC-2025-0057","F-D001-202504-1089","L202504-255-0057","D004","P018",8,10,80,"800.00","15.00","120.00","680.00","54400.00","CENTRO","Recibido","45 días crédito",NULL
58,"2025-02-25","OC-2025-0058","F-D002-202502-3941","L202502-799-0058","D001","P018",21,10,210,"800.00","11.00","88.00","712.00","149520.00","NORTE","Recibido","30 días crédito",NULL
59,"2025-04-16","OC-2025-0059","F-D002-202504-8110","L202504-617-0059","D002","P018",37,10,370,"800.00","7.00","56.00","744.00","275280.00","NORTE","Recibido","15 días crédito",NULL
60,"2025-07-20","OC-2025-0060","F-D003-202507-3666","L202507-058-0060","D001","P011",43,20,860,"2100.00","9.00","189.00","1911.00","1643460.00","NORTE","Recibido","30 días crédito",NULL
61,"2025-10-15","OC-2025-0061","F-D007-202510-7013","L202510-883-0061","D006","P001",30,50,1500,"2500.00","14.00","350.00","2150.00","3225000.00","SUR","Recibido","60 días crédito",NULL
62,"2025-07-01","OC-2025-0062","F-D006-202507-8479","L202507-140-0062","D003","P012",7,20,140,"2200.00","4.00","88.00","2112.00","295680.00","NORTE","Pendiente","Contado contra entrega",NULL
63,"2025-08-07","OC-2025-0063","F-D006-202508-5911","L202508-185-0063","D007","P019",15,10,150,"500.00","8.00","40.00","460.00","69000.00","VALLE","Recibido","15 días crédito",NULL
64,"2025-08-21","OC-2025-0064","F-D001-202508-4298","L202508-186-0064","D007","P001",40,10,400,"2500.00","7.00","175.00","2325.00","930000.00","CENTRO","Recibido","15 días crédito",NULL
65,"2025-07-17","OC-2025-0065","F-D004-202507-7446","L202507-374-0065","D006","P008",28,30,840,"650.00","16.00","104.00","546.00","458640.00","CENTRO","Recibido","60 días crédito",NULL
66,"2025-09-27","OC-2025-0066","F-D005-202509-4556","L202509-931-0066","D008","P020",25,20,500,"650.00","13.00","84.50","565.50","282750.00","SUR","Recibido","30 días crédito",NULL
67,"2025-08-06","OC-2025-0067","F-D008-202508-5914","L202508-512-0067","D004","P012",48,50,2400,"2200.00","15.00","330.00","1870.00","4488000.00","SUR","Recibido","45 días crédito","Entrega coordinada fuera de horario regular"
68,"2025-07-26","OC-2025-0068","F-D008-202507-3801","L202507-829-0068","D005","P013",1,10,10,"2000.00","8.00","160.00","1840.00","18400.00","CENTRO","Recibido","30 días crédito",NULL
69,"2025-01-23","OC-2025-0069","F-D002-202501-4018","L202501-626-0069","D006","P011",50,50,2500,"2100.00","15.00","315.00","1785.00","4462500.00","SUR","Recibido","60 días crédito",NULL
70,"2025-06-28","OC-2025-0070","F-D003-202506-9332","L202506-576-0070","D003","P007",7,24,168,"2800.00","7.00","196.00","2604.00","437472.00","CENTRO","Pendiente","Contado contra entrega",NULL
71,"2025-09-05","OC-2025-0071","F-D008-202509-5904","L202509-430-0071","D003","P017",12,50,600,"1800.00","8.00","144.00","1656.00","993600.00","SUR","Recibido","Contado contra entrega",NULL
72,"2025-08-22","OC-2025-0072","F-D005-202508-7180","L202508-085-0072","D005","P018",22,10,220,"800.00","10.00","80.00","720.00","158400.00","NORTE","Recibido","30 días crédito",NULL
73,"2025-06-26","OC-2025-0073","F-D005-202506-7260","L202506-005-0073","D005","P006",29,60,1740,"3200.00","9.00","288.00","2912.00","5066880.00","NORTE","Recibido","30 días crédito",NULL
74,"2025-02-17","OC-2025-0074","F-D004-202502-9819","L202502-308-0074","D004","P016",35,20,700,"4000.00","14.00","560.00","3440.00","2408000.00","VALLE","Recibido","45 días crédito",NULL
75,"2025-07-03","OC-2025-0075","F-D002-202507-6229","L202507-310-0075","D006","P010",31,60,1860,"2100.00","12.00","252.00","1848.00","3437280.00","CENTRO","Recibido","60 días crédito",NULL
76,"2025-06-11","OC-2025-0076","F-D001-202506-5223","L202506-506-0076","D004","P005",5,60,300,"1100.00","13.00","143.00","957.00","287100.00","NORTE","Recibido","45 días crédito",NULL
77,"2025-02-27","OC-2025-0077","F-D005-202502-7520","L202502-618-0077","D002","P017",7,50,350,"1800.00","8.00","144.00","1656.00","579600.00","SUR","Recibido","15 días crédito",NULL
78,"2025-01-13","OC-2025-0078","F-D002-202501-7055","L202501-288-0078","D004","P008",13,20,260,"650.00","14.00","91.00","559.00","145340.00","NORTE","Recibido","45 días crédito",NULL
79,"2025-09-07","OC-2025-0079","F-D008-202509-1020","L202509-658-0079","D007","P010",20,24,480,"2100.00","7.00","147.00","1953.00","937440.00","NORTE","Recibido","15 días crédito",NULL
80,"2025-05-11","OC-2025-0080","F-D008-202505-2653","L202505-114-0080","D006","P011",33,24,792,"2100.00","14.00","294.00","1806.00","1430352.00","SUR","Recibido","60 días crédito",NULL
81,"2025-09-25","OC-2025-0081","F-D003-202509-5038","L202509-944-0081","D003","P010",43,24,1032,"2100.00","9.00","189.00","1911.00","1972152.00","SUR","Recibido","Contado contra entrega",NULL
82,"2025-10-21","OC-2025-0082","F-D006-202510-9861","L202510-395-0082","D002","P012",10,20,200,"2200.00","10.00","220.00","1980.00","396000.00","NORTE","Recibido","15 días crédito",NULL
83,"2025-02-10","OC-2025-0083","F-D001-202502-9870","L202502-594-0083","D008","P009",56,24,1344,"900.00","9.00","81.00","819.00","1100736.00","CENTRO","Recibido","30 días crédito",NULL
84,"2025-12-25","OC-2025-0084","F-D007-202512-8156","L202512-831-0084","D001","P013",47,20,940,"2000.00","9.00","180.00","1820.00","1710800.00","SUR","Recibido","30 días crédito",NULL
85,"2025-05-15","OC-2025-0085","F-D005-202505-8209","L202505-692-0085","D008","P005",9,60,540,"1100.00","12.00","132.00","968.00","522720.00","NORTE","Recibido","30 días crédito",NULL
86,"2025-07-01","OC-2025-0086","F-D001-202507-0099","L202507-672-0086","D008","P008",33,20,660,"650.00","12.00","78.00","572.00","377520.00","VALLE","Recibido","30 días crédito",NULL
87,"2025-10-21","OC-2025-0087","F-D001-202510-9844","L202510-731-0087","D008","P005",60,20,1200,"1100.00","10.00","110.00","990.00","1188000.00","NORTE","Recibido","30 días crédito",NULL
88,"2025-11-26","OC-2025-0088","F-D003-202511-7732","L202511-349-0088","D003","P010",55,30,1650,"2100.00","6.00","126.00","1974.00","3257100.00","CENTRO","Pendiente","Contado contra entrega","Entrega coordinada fuera de horario regular"
89,"2025-03-12","OC-2025-0089","F-D006-202503-7552","L202503-943-0089","D008","P004",3,30,90,"850.00","12.00","102.00","748.00","67320.00","VALLE","Recibido","30 días crédito",NULL
90,"2025-03-16","OC-2025-0090","F-D006-202503-0888","L202503-892-0090","D002","P002",11,30,330,"1800.00","9.00","162.00","1638.00","540540.00","VALLE","Recibido","15 días crédito",NULL
91,"2025-02-12","OC-2025-0091","F-D006-202502-1028","L202502-930-0091","D001","P006",27,20,540,"3200.00","8.00","256.00","2944.00","1589760.00","NORTE","Recibido","30 días crédito",NULL
92,"2025-03-13","OC-2025-0092","F-D004-202503-8220","L202503-975-0092","D002","P006",32,50,1600,"3200.00","7.00","224.00","2976.00","4761600.00","SUR","Recibido","15 días crédito",NULL
93,"2025-01-11","OC-2025-0093","F-D003-202501-2175","L202501-433-0093","D002","P015",46,60,2760,"1500.00","9.00","135.00","1365.00","3767400.00","CENTRO","Recibido","15 días crédito","Entrega coordinada fuera de horario regular"
94,"2025-02-03","OC-2025-0094","F-D006-202502-3963","L202502-680-0094","D002","P011",44,24,1056,"2100.00","7.00","147.00","1953.00","2062368.00","VALLE","Recibido","15 días crédito",NULL
95,"2025-08-27","OC-2025-0095","F-D004-202508-4135","L202508-338-0095","D005","P004",16,30,480,"850.00","9.00","76.50","773.50","371280.00","CENTRO","Recibido","30 días crédito",NULL
96,"2025-03-18","OC-2025-0096","F-D001-202503-3092","L202503-150-0096","D002","P008",49,60,2940,"650.00","11.00","71.50","578.50","1700790.00","CENTRO","Recibido","15 días crédito","Descuento por volumen"
97,"2025-07-16","OC-2025-0097","F-D006-202507-0423","L202507-071-0097","D001","P017",30,24,720,"1800.00","11.00","198.00","1602.00","1153440.00","NORTE","Recibido","30 días crédito","Compra controlada: producto de alta rotación"
98,"2025-03-23","OC-2025-0098","F-D008-202503-1017","L202503-090-0098","D008","P014",14,30,420,"2300.00","12.00","276.00","2024.00","850080.00","SUR","Recibido","30 días crédito",NULL
99,"2025-09-10","OC-2025-0099","F-D004-202509-0631","L202509-869-0099","D008","P006",11,20,220,"3200.00","12.00","384.00","2816.00","619520.00","SUR","Recibido","30 días crédito",NULL
100,"2025-09-02","OC-2025-0100","F-D004-202509-7794","L202509-223-0100","D005","P005",59,60,3540,"1100.00","9.00","99.00","1001.00","3543540.00","SUR","Pendiente","30 días crédito","Compra controlada: producto de alta rotación"
101,"2025-12-15","OC-2025-0101","F-D004-202512-8403","L202512-749-0101","D006","P013",8,10,80,"2000.00","14.00","280.00","1720.00","137600.00","VALLE","Recibido","60 días crédito","Entrega coordinada fuera de horario regular"
102,"2025-01-21","OC-2025-0102","F-D003-202501-1683","L202501-790-0102","D006","P018",40,20,800,"800.00","16.00","128.00","672.00","537600.00","SUR","Recibido","60 días crédito",NULL
103,"2025-07-27","OC-2025-0103","F-D002-202507-4251","L202507-557-0103","D002","P001",12,60,720,"2500.00","9.00","225.00","2275.00","1638000.00","CENTRO","Recibido","15 días crédito",NULL
104,"2025-08-14","OC-2025-0104","F-D006-202508-1853","L202508-037-0104","D004","P011",22,60,1320,"2100.00","12.00","252.00","1848.00","2439360.00","NORTE","Recibido","45 días crédito",NULL
105,"2025-07-05","OC-2025-0105","F-D005-202507-7486","L202507-004-0105","D004","P006",59,60,3540,"3200.00","13.00","416.00","2784.00","9855360.00","SUR","Recibido","45 días crédito",NULL
106,"2025-04-06","OC-2025-0106","F-D005-202504-9548","L202504-630-0106","D005","P008",33,24,792,"650.00","10.00","65.00","585.00","463320.00","SUR","Recibido","30 días crédito",NULL
107,"2025-07-15","OC-2025-0107","F-D001-202507-2313","L202507-311-0107","D002","P019",45,50,2250,"500.00","7.00","35.00","465.00","1046250.00","VALLE","Recibido","15 días crédito",NULL
108,"2025-06-09","OC-2025-0108","F-D001-202506-0179","L202506-874-0108","D004","P003",33,60,1980,"1200.00","11.00","132.00","1068.00","2114640.00","NORTE","Recibido","45 días crédito",NULL
109,"2025-06-25","OC-2025-0109","F-D005-202506-2743","L202506-261-0109","D007","P011",35,10,350,"2100.00","6.00","126.00","1974.00","690900.00","CENTRO","Recibido","15 días crédito",NULL
110,"2025-11-17","OC-2025-0110","F-D001-202511-3067","L202511-910-0110","D002","P004",11,60,660,"850.00","10.00","85.00","765.00","504900.00","VALLE","Recibido","15 días crédito",NULL
111,"2025-05-02","OC-2025-0111","F-D007-202505-2603","L202505-788-0111","D005","P009",42,30,1260,"900.00","9.00","81.00","819.00","1031940.00","VALLE","Recibido","30 días crédito",NULL
112,"2025-11-20","OC-2025-0112","F-D004-202511-9138","L202511-845-0112","D008","P003",2,10,20,"1200.00","10.00","120.00","1080.00","21600.00","VALLE","Recibido","30 días crédito",NULL
113,"2025-07-12","OC-2025-0113","F-D004-202507-8213","L202507-093-0113","D002","P008",22,60,1320,"650.00","11.00","71.50","578.50","763620.00","CENTRO","Recibido","15 días crédito","Entrega coordinada fuera de horario regular"
114,"2025-06-11","OC-2025-0114","F-D007-202506-3482","L202506-551-0114","D004","P006",14,20,280,"3200.00","10.00","320.00","2880.00","806400.00","SUR","Recibido","45 días crédito",NULL
115,"2025-05-09","OC-2025-0115","F-D005-202505-7943","L202505-666-0115","D006","P017",44,24,1056,"1800.00","15.00","270.00","1530.00","1615680.00","SUR","Recibido","60 días crédito",NULL
116,"2025-11-28","OC-2025-0116","F-D002-202511-4067","L202511-084-0116","D008","P017",54,50,2700,"1800.00","11.00","198.00","1602.00","4325400.00","SUR","Recibido","30 días crédito","Entrega coordinada fuera de horario regular"
117,"2025-09-14","OC-2025-0117","F-D001-202509-2236","L202509-585-0117","D007","P014",13,20,260,"2300.00","9.00","207.00","2093.00","544180.00","VALLE","Recibido","15 días crédito","Entrega coordinada fuera de horario regular"
118,"2025-09-18","OC-2025-0118","F-D002-202509-4020","L202509-672-0118","D002","P002",31,10,310,"1800.00","7.00","126.00","1674.00","518940.00","SUR","Recibido","15 días crédito",NULL
119,"2025-06-20","OC-2025-0119","F-D005-202506-1008","L202506-771-0119","D005","P020",32,30,960,"650.00","8.00","52.00","598.00","574080.00","CENTRO","Recibido","30 días crédito",NULL
120,"2025-08-27","OC-2025-0120","F-D006-202508-2289","L202508-758-0120","D006","P020",10,60,600,"650.00","14.00","91.00","559.00","335400.00","SUR","Recibido","60 días crédito",NULL
121,"2025-04-19","OC-2025-0121","F-D001-202504-6105","L202504-365-0121","D002","P002",30,50,1500,"1800.00","11.00","198.00","1602.00","2403000.00","SUR","Recibido","15 días crédito",NULL
122,"2025-03-27","OC-2025-0122","F-D003-202503-3786","L202503-351-0122","D004","P004",56,30,1680,"850.00","12.00","102.00","748.00","1256640.00","VALLE","Recibido","45 días crédito",NULL
123,"2025-12-14","OC-2025-0123","F-D005-202512-6693","L202512-875-0123","D005","P004",33,10,330,"850.00","12.00","102.00","748.00","246840.00","SUR","Recibido","30 días crédito",NULL
124,"2025-05-04","OC-2025-0124","F-D006-202505-6984","L202505-083-0124","D004","P018",25,20,500,"800.00","14.00","112.00","688.00","344000.00","CENTRO","Recibido","45 días crédito",NULL
125,"2025-03-06","OC-2025-0125","F-D007-202503-2443","L202503-238-0125","D007","P017",9,10,90,"1800.00","10.00","180.00","1620.00","145800.00","VALLE","Pendiente","15 días crédito",NULL
126,"2025-10-18","OC-2025-0126","F-D003-202510-9655","L202510-417-0126","D002","P012",34,10,340,"2200.00","9.00","198.00","2002.00","680680.00","VALLE","Recibido","15 días crédito",NULL
127,"2025-05-20","OC-2025-0127","F-D006-202505-3986","L202505-762-0127","D004","P010",12,20,240,"2100.00","11.00","231.00","1869.00","448560.00","SUR","Recibido","45 días crédito",NULL
128,"2025-05-15","OC-2025-0128","F-D008-202505-0623","L202505-768-0128","D006","P002",18,10,180,"1800.00","16.00","288.00","1512.00","272160.00","CENTRO","Recibido","60 días crédito",NULL
129,"2025-12-25","OC-2025-0129","F-D002-202512-4644","L202512-493-0129","D008","P020",20,24,480,"650.00","9.00","58.50","591.50","283920.00","CENTRO","Recibido","30 días crédito",NULL
130,"2025-12-08","OC-2025-0130","F-D008-202512-2059","L202512-160-0130","D004","P018",22,20,440,"800.00","11.00","88.00","712.00","313280.00","CENTRO","Pendiente","45 días crédito",NULL
131,"2025-08-03","OC-2025-0131","F-D005-202508-9317","L202508-606-0131","D004","P007",25,20,500,"2800.00","13.00","364.00","2436.00","1218000.00","VALLE","Recibido","45 días crédito",NULL
132,"2025-10-14","OC-2025-0132","F-D007-202510-8106","L202510-260-0132","D003","P007",29,60,1740,"2800.00","9.00","252.00","2548.00","4433520.00","VALLE","Recibido","Contado contra entrega",NULL
133,"2025-02-17","OC-2025-0133","F-D004-202502-8535","L202502-397-0133","D007","P010",52,30,1560,"2100.00","7.00","147.00","1953.00","3046680.00","VALLE","Recibido","15 días crédito",NULL
134,"2025-10-08","OC-2025-0134","F-D002-202510-9073","L202510-832-0134","D005","P001",49,20,980,"2500.00","8.00","200.00","2300.00","2254000.00","SUR","Recibido","30 días crédito",NULL
135,"2025-04-22","OC-2025-0135","F-D003-202504-7400","L202504-250-0135","D005","P009",7,20,140,"900.00","10.00","90.00","810.00","113400.00","VALLE","Recibido","30 días crédito",NULL
136,"2025-06-25","OC-2025-0136","F-D007-202506-6285","L202506-077-0136","D004","P005",58,24,1392,"1100.00","12.00","132.00","968.00","1347456.00","NORTE","Recibido","45 días crédito",NULL
137,"2025-12-17","OC-2025-0137","F-D006-202512-1772","L202512-394-0137","D006","P002",26,60,1560,"1800.00","14.00","252.00","1548.00","2414880.00","SUR","Recibido","60 días crédito",NULL
138,"2025-08-21","OC-2025-0138","F-D006-202508-7341","L202508-401-0138","D002","P019",8,50,400,"500.00","6.00","30.00","470.00","188000.00","VALLE","Recibido","15 días crédito",NULL
139,"2025-08-10","OC-2025-0139","F-D006-202508-8611","L202508-197-0139","D005","P001",38,24,912,"2500.00","11.00","275.00","2225.00","2029200.00","NORTE","Recibido","30 días crédito",NULL
140,"2025-07-26","OC-2025-0140","F-D001-202507-1672","L202507-557-0140","D003","P006",48,60,2880,"3200.00","7.00","224.00","2976.00","8570880.00","CENTRO","Recibido","Contado contra entrega",NULL
